cond_1	cond_2	time	mean_crossval_score	metric
1_item/short	1_item/long	-3.16	0.6111111111111112	roc_auc
1_item/short	1_item/long	-3.15	0.5555555555555556	roc_auc
1_item/short	1_item/long	-3.14	0.38888888888888884	roc_auc
1_item/short	1_item/long	-3.13	0.5555555555555556	roc_auc
1_item/short	1_item/long	-3.12	0.6666666666666667	roc_auc
1_item/short	1_item/long	-3.11	0.7222222222222223	roc_auc
1_item/short	1_item/long	-3.1	0.8333333333333334	roc_auc
1_item/short	1_item/long	-3.09	0.7777777777777779	roc_auc
1_item/short	1_item/long	-3.08	0.5555555555555556	roc_auc
1_item/short	1_item/long	-3.07	0.5555555555555556	roc_auc
1_item/short	1_item/long	-3.06	0.6666666666666667	roc_auc
1_item/short	1_item/long	-3.05	1.0	roc_auc
1_item/short	1_item/long	-3.04	0.9444444444444444	roc_auc
1_item/short	1_item/long	-3.03	0.7777777777777778	roc_auc
1_item/short	1_item/long	-3.02	0.5555555555555556	roc_auc
1_item/short	1_item/long	-3.01	0.3888888888888889	roc_auc
1_item/short	1_item/long	-3.0	0.7222222222222222	roc_auc
1_item/short	1_item/long	-2.99	0.8333333333333334	roc_auc
1_item/short	1_item/long	-2.98	0.6111111111111112	roc_auc
1_item/short	1_item/long	-2.97	0.4444444444444445	roc_auc
1_item/short	1_item/long	-2.96	0.5555555555555556	roc_auc
1_item/short	1_item/long	-2.95	0.7222222222222223	roc_auc
1_item/short	1_item/long	-2.94	0.6111111111111112	roc_auc
1_item/short	1_item/long	-2.93	0.6111111111111112	roc_auc
1_item/short	1_item/long	-2.92	0.6666666666666667	roc_auc
1_item/short	1_item/long	-2.91	0.8888888888888888	roc_auc
1_item/short	1_item/long	-2.9	0.5	roc_auc
1_item/short	1_item/long	-2.89	0.05555555555555556	roc_auc
1_item/short	1_item/long	-2.88	0.6111111111111112	roc_auc
1_item/short	1_item/long	-2.87	0.6666666666666667	roc_auc
1_item/short	1_item/long	-2.86	0.33333333333333337	roc_auc
1_item/short	1_item/long	-2.85	0.4444444444444444	roc_auc
